Entity,Code,Year,Annual change in primary energy consumption (%),Primary energy consumption (TWh),Electricity from wind - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Other renewables including bioenergy - TWh,Primary energy consumption per capita (kWh/person)
Afghanistan,AFG,1981,12.663031,8.77732,0.0,0.0,0.0,0.0,786.8369
Afghanistan,AFG,1982,6.5054774,9.348327,0.0,0.0,0.0,0.0,926.65125
Afghanistan,AFG,1983,22.33379,11.436162,0.0,0.0,0.0,0.0,1149.1959
Afghanistan,AFG,1984,0.4624009,11.489043,0.0,0.0,0.0,0.0,1121.5729
Afghanistan,AFG,1985,-2.3653746,11.217284,0.0,0.0,0.0,0.0,1067.0709
